Neighborhood,date_str,violent
Brighton,01/01/2015,1
Brighton,01/05/2015,1
Brighton,01/07/2015,1
Brighton,01/09/2015,1
Brighton,01/11/2015,1
Brighton,01/16/2015,1
Brighton,01/19/2015,2
Brighton,01/23/2015,1
Brighton,01/24/2015,1
Brighton,02/01/2015,1
Brighton,02/03/2015,1
Brighton,02/04/2015,2
Brighton,02/05/2015,1
Brighton,02/07/2015,1
Brighton,02/10/2015,1
Brighton,02/11/2015,1
Brighton,02/13/2015,1
Brighton,02/15/2015,2
Brighton,02/18/2015,1
Brighton,02/19/2015,1
Brighton,02/22/2015,3
Brighton,02/23/2015,1
Brighton,02/25/2015,1
Brighton,02/28/2015,1
Brighton,03/04/2015,3
Brighton,03/05/2015,1
Brighton,03/08/2015,1
Brighton,03/09/2015,1
Brighton,03/10/2015,2
Brighton,03/11/2015,1
Brighton,03/14/2015,1
Brighton,03/15/2015,1
Brighton,03/16/2015,1
Brighton,03/18/2015,1
Brighton,03/21/2015,1
Brighton,03/23/2015,1
Brighton,03/24/2015,1
Brighton,03/29/2015,1
Brighton,04/06/2015,2
Brighton,04/07/2015,1
Brighton,04/09/2015,1
Brighton,04/12/2015,1
Brighton,04/15/2015,1
Brighton,04/16/2015,2
Brighton,04/17/2015,1
Brighton,04/19/2015,1
Brighton,04/20/2015,1
Brighton,04/22/2015,2
Brighton,04/30/2015,1
Brighton,05/07/2015,1
Brighton,05/10/2015,1
Brighton,05/14/2015,2
Brighton,05/16/2015,1
Brighton,05/18/2015,1
Brighton,05/19/2015,1
Brighton,05/20/2015,1
Brighton,05/22/2015,1
Brighton,05/23/2015,1
Brighton,05/25/2015,1
Brighton,05/30/2015,1
Brighton,05/31/2015,2
Brighton,06/01/2015,1
Brighton,06/02/2015,3
Brighton,06/04/2015,1
Brighton,06/16/2015,1
Brighton,06/17/2015,1
Brighton,06/18/2015,1
Brighton,06/20/2015,1
Brighton,06/22/2015,1
Brighton,06/24/2015,1
Brighton,06/25/2015,1
Brighton,06/28/2015,1
Brighton,07/01/2015,1
Brighton,07/03/2015,1
Brighton,07/08/2015,1
Brighton,07/10/2015,3
Brighton,07/11/2015,1
Brighton,07/18/2015,1
Brighton,07/20/2015,1
Brighton,07/21/2015,1
Brighton,07/22/2015,1
Brighton,07/27/2015,1
Brighton,07/28/2015,1
Brighton,07/31/2015,2
Brighton,08/01/2015,1
Brighton,08/02/2015,1
Brighton,08/03/2015,1
Brighton,08/06/2015,1
Brighton,08/07/2015,2
Brighton,08/08/2015,1
Fenway,01/01/2015,3
Fenway,01/04/2015,1
Fenway,01/11/2015,1
Fenway,01/12/2015,2
Fenway,01/13/2015,1
Fenway,01/17/2015,3
Fenway,01/18/2015,2
Fenway,01/25/2015,1
Fenway,02/01/2015,1
Fenway,02/02/2015,1
Fenway,02/04/2015,1
Fenway,02/05/2015,2
Fenway,02/07/2015,1
Fenway,02/09/2015,1
Fenway,02/10/2015,1
Fenway,02/12/2015,2
Fenway,02/20/2015,1
Fenway,02/21/2015,2
Fenway,02/26/2015,1
Fenway,02/28/2015,2
Fenway,03/01/2015,2
Fenway,03/04/2015,1
Fenway,03/05/2015,1
Fenway,03/07/2015,1
Fenway,03/09/2015,1
Fenway,03/10/2015,1
Fenway,03/13/2015,1
Fenway,03/15/2015,1
Fenway,03/16/2015,1
Fenway,03/17/2015,2
Fenway,03/18/2015,2
Fenway,03/21/2015,1
Fenway,03/22/2015,1
Fenway,03/30/2015,1
Fenway,04/02/2015,1
Fenway,04/05/2015,1
Fenway,04/06/2015,3
Fenway,04/07/2015,1
Fenway,04/10/2015,2
Fenway,04/12/2015,1
Fenway,04/13/2015,2
Fenway,04/14/2015,1
Fenway,04/16/2015,1
Fenway,04/17/2015,2
Fenway,04/18/2015,1
Fenway,04/19/2015,1
Fenway,04/20/2015,2
Fenway,04/25/2015,1
Fenway,04/26/2015,1
Fenway,04/27/2015,2
Fenway,04/28/2015,1
Fenway,04/29/2015,1
Fenway,04/30/2015,1
Fenway,05/01/2015,1
Fenway,05/02/2015,1
Fenway,05/04/2015,1
Fenway,05/06/2015,3
Fenway,05/09/2015,1
Fenway,05/12/2015,1
Fenway,05/13/2015,1
Fenway,05/15/2015,1
Fenway,05/16/2015,1
Fenway,05/17/2015,1
Fenway,05/18/2015,1
Fenway,05/19/2015,3
Fenway,05/23/2015,3
Fenway,05/25/2015,1
Fenway,05/28/2015,1
Fenway,05/29/2015,2
Fenway,05/30/2015,2
Fenway,05/31/2015,1
Fenway,06/04/2015,1
Fenway,06/05/2015,2
Fenway,06/06/2015,1
Fenway,06/07/2015,1
Fenway,06/10/2015,1
Fenway,06/14/2015,1
Fenway,06/15/2015,1
Fenway,06/20/2015,1
Fenway,06/23/2015,1
Fenway,06/24/2015,2
Fenway,06/26/2015,1
Fenway,06/27/2015,1
Fenway,06/28/2015,1
Fenway,07/01/2015,1
Fenway,07/02/2015,1
Fenway,07/05/2015,1
Fenway,07/08/2015,2
Fenway,07/10/2015,1
Fenway,07/11/2015,1
Fenway,07/12/2015,1
Fenway,07/14/2015,1
Fenway,07/15/2015,1
Fenway,07/17/2015,1
Fenway,07/29/2015,2
Fenway,08/01/2015,1
Fenway,08/04/2015,1
Fenway,08/07/2015,1
Fenway,08/09/2015,1
Fenway,08/10/2015,1
Roxbury,01/01/2015,6
Roxbury,01/02/2015,3
Roxbury,01/03/2015,2
Roxbury,01/05/2015,4
Roxbury,01/06/2015,2
Roxbury,01/07/2015,3
Roxbury,01/08/2015,5
Roxbury,01/09/2015,2
Roxbury,01/10/2015,1
Roxbury,01/11/2015,2
Roxbury,01/12/2015,2
Roxbury,01/13/2015,4
Roxbury,01/15/2015,1
Roxbury,01/16/2015,3
Roxbury,01/17/2015,3
Roxbury,01/18/2015,2
Roxbury,01/19/2015,1
Roxbury,01/20/2015,1
Roxbury,01/21/2015,5
Roxbury,01/22/2015,6
Roxbury,01/23/2015,5
Roxbury,01/24/2015,5
Roxbury,01/25/2015,1
Roxbury,01/26/2015,4
Roxbury,01/27/2015,2
Roxbury,01/29/2015,3
Roxbury,01/31/2015,3
Roxbury,02/01/2015,1
Roxbury,02/02/2015,4
Roxbury,02/03/2015,1
Roxbury,02/04/2015,5
Roxbury,02/05/2015,3
